"large_family" "gene_transcript" "count_missense_nonsense_per_gene"
"1" "FS" "SMEST057237001.1" 10
"2" "FS" "SMEST041550001.1" 8
"3" "FS" "SMEST032577001.1" 4
"4" "FS" "SMEST003551001.1" 4
"5" "FS" "SMEST024212001.1" 3
"6" "FS" "SMEST029489001.1" 3
"7" "FS" "SMEST065771001.1" 3
"8" "FS" "SMEST026726001.1" 2
"9" "FS" "SMEST005589001.1" 2
"10" "FS" "SMEST007085006.1" 2
"11" "FS" "SMEST059178001.1" 2
"12" "FS" "SMEST079575003.1" 2
"13" "FS" "SMEST006125001.1" 2
"14" "FS" "SMEST024529001.1" 2
"15" "FS" "MSTRG.8835.2" 2
"16" "FS" "SMEST044524006.1" 2
"17" "FS" "MSTRG.17251.2" 2
"18" "FS" "SMEST077989001.1" 2
"19" "FS" "SMEST079668001.1" 2
"20" "FS" "SMEST073411002.1" 2
"21" "FS" "SMEST004406002.1" 2
"22" "FS" "SMEST042583001.1" 2
"23" "FS" "SMEST043792001.1" 2
"24" "FS" "MSTRG.21840.7" 2
"25" "FS" "SMEST022927002.1" 2
"26" "FS" "SMEST013251001.1" 2
"27" "FS" "MSTRG.16348.4" 2
"28" "FS" "SMEST027037001.1" 1
"29" "FS" "SMEST005640002.1" 1
"30" "FS" "SMEST004375001.1" 1
"31" "FS" "SMEST008702001.1" 1
"32" "FS" "SMEST014761004.1" 1
"33" "FS" "SMEST013694002.1" 1
"34" "FS" "SMEST015895001.1" 1
"35" "FS" "SMEST017350001.1" 1
"36" "FS" "SMEST020370001.1" 1
"37" "FS" "SMEST022814001.1" 1
"38" "FS" "SMEST023082001.1" 1
"39" "FS" "SMEST022699001.1" 1
"40" "FS" "MSTRG.8336.4" 1
"41" "FS" "SMEST042416001.1" 1
"42" "FS" "SMEST042733001.1" 1
"43" "FS" "SMEST030853001.1" 1
"44" "FS" "MSTRG.10528.3" 1
"45" "FS" "SMEST033772001.1" 1
"46" "FS" "SMEST033852001.1" 1
"47" "FS" "MSTRG.12770.2" 1
"48" "FS" "MSTRG.13021.3" 1
"49" "FS" "SMEST052112002.1" 1
"50" "FS" "SMEST044253001.1" 1
"51" "FS" "SMEST048767001.1" 1
"52" "FS" "SMEST058755001.1" 1
"53" "FS" "SMEST067202001.1" 1
"54" "FS" "SMEST072466001.1" 1
"55" "FS" "SMEST081033002.1" 1
"56" "FS" "SMEST009948001.1" 1
"57" "FS" "SMEST010652001.1" 1
"58" "FS" "SMEST014496001.1" 1
"59" "FS" "SMEST014741002.1" 1
"60" "FS" "MSTRG.4658.1" 1
"61" "FS" "MSTRG.5012.4" 1
"62" "FS" "MSTRG.9504.1" 1
"63" "FS" "MSTRG.11554.1" 1
"64" "FS" "MSTRG.12387.1" 1
"65" "FS" "SMEST048378008.1" 1
"66" "FS" "SMEST056847004.1" 1
"67" "FS" "SMEST060406002.1" 1
"68" "FS" "SMEST060978001.1" 1
"69" "FS" "SMEST067084001.1" 1
"70" "FS" "MSTRG.21549.1" 1
"71" "FS" "MSTRG.21960.2" 1
"72" "FS" "SMEST079529001.1" 1
"73" "FS" "SMEST080049001.1" 1
"74" "FS" "SMEST013579002.1" 1
"75" "FS" "SMEST042145001.1" 1
"76" "FS" "MSTRG.9278.1" 1
"77" "FS" "SMEST029688001.1" 1
"78" "FS" "SMEST037711001.1" 1
"79" "FS" "MSTRG.16124.10" 1
"80" "FS" "SMEST078209003.1" 1
"81" "FS" "SMEST027161004.1" 1
"82" "FS" "SMEST026113001.1" 1
"83" "FS" "MSTRG.703.3" 1
"84" "FS" "SMEST003033001.1" 1
"85" "FS" "SMEST003058001.1" 1
"86" "FS" "SMEST003184002.1" 1
"87" "FS" "SMEST001725002.1" 1
"88" "FS" "SMEST011901003.1" 1
"89" "FS" "SMEST019751002.1" 1
"90" "FS" "SMEST019959001.1" 1
"91" "FS" "SMEST031140006.1" 1
"92" "FS" "MSTRG.15023.1" 1
"93" "FS" "SMEST054924001.1" 1
"94" "FS" "SMEST056430002.1" 1
"95" "FS" "SMEST068428001.1" 1
"96" "FS" "SMEST080324001.1" 1
"97" "FS" "SMEST004806003.1" 1
"98" "FS" "SMEST013361001.1" 1
"99" "FS" "SMEST020344001.1" 1
"100" "FS" "SMEST021917001.1" 1
"101" "FS" "SMEST041513001.1" 1
"102" "FS" "SMEST028566001.1" 1
"103" "FS" "SMEST033128002.1" 1
"104" "FS" "SMEST033322001.1" 1
"105" "FS" "SMEST051384001.1" 1
"106" "FS" "SMEST050765001.1" 1
"107" "FS" "SMEST045419001.1" 1
"108" "FS" "MSTRG.14167.1" 1
"109" "FS" "SMEST053146001.1" 1
"110" "FS" "MSTRG.16357.1" 1
"111" "FS" "SMEST064089001.1" 1
"112" "FS" "MSTRG.19219.2" 1
"113" "FS" "SMEST066485001.1" 1
"114" "FS" "SMEST067156001.1" 1
"115" "FS" "SMEST068063001.1" 1
"116" "FS" "SMEST070969001.1" 1
"117" "FS" "MSTRG.2563.1" 1
"118" "FS" "MSTRG.14161.1" 1
"119" "FS" "SMEST049178001.1" 1
"120" "FS" "SMEST056845004.1" 1
"121" "FS" "SMEST060720001.1" 1
"122" "FS" "MSTRG.23140.1" 1
"123" "FS" "SMEST080058001.1" 1
"124" "FS" "SMEST002539002.1" 1
"125" "FS" "SMEST002694001.1" 1
"126" "FS" "SMEST005752001.1" 1
"127" "FS" "MSTRG.4978.3" 1
"128" "FS" "SMEST064165001.1" 1
"129" "FS" "MSTRG.18643.1" 1
"130" "FS" "MSTRG.20232.3" 1
"131" "FS" "MSTRG.20770.4" 1
