"large_family" "gene_transcript" "count_missense_nonsense_per_gene"
"1" "PH" "SMEST062778001.1" 14
"2" "PH" "SMEST043490001.1" 12
"3" "PH" "SMEST072479023.1" 11
"4" "PH" "SMEST066980005.1" 9
"5" "PH" "MSTRG.11468.1" 8
"6" "PH" "SMEST062783001.1" 7
"7" "PH" "SMEST079651001.1" 7
"8" "PH" "MSTRG.9924.2" 6
"9" "PH" "SMEST062730002.1" 6
"10" "PH" "MSTRG.897.1" 6
"11" "PH" "SMEST000519001.1" 5
"12" "PH" "SMEST003547002.1" 5
"13" "PH" "SMEST022996001.1" 5
"14" "PH" "SMEST043597002.1" 5
"15" "PH" "MSTRG.21223.1" 5
"16" "PH" "SMEST025421001.1" 4
"17" "PH" "MSTRG.45.7" 4
"18" "PH" "MSTRG.1088.14" 4
"19" "PH" "SMEST020631002.1" 4
"20" "PH" "SMEST032627002.1" 4
"21" "PH" "MSTRG.11018.2" 4
"22" "PH" "SMEST035186002.1" 4
"23" "PH" "SMEST035281001.1" 4
"24" "PH" "SMEST043489001.1" 4
"25" "PH" "SMEST043585001.1" 4
"26" "PH" "SMEST045255001.1" 4
"27" "PH" "SMEST062714001.1" 4
"28" "PH" "SMEST062719003.1" 4
"29" "PH" "SMEST062774004.1" 4
"30" "PH" "SMEST065653001.1" 4
"31" "PH" "SMEST065664001.1" 4
"32" "PH" "MSTRG.19539.1" 4
"33" "PH" "MSTRG.21220.2" 4
"34" "PH" "SMEST069022001.1" 4
"35" "PH" "SMEST058755001.1" 4
"36" "PH" "SMEST022736001.1" 4
"37" "PH" "SMEST027261001.1" 3
"38" "PH" "MSTRG.43.1" 3
"39" "PH" "SMEST025842001.1" 3
"40" "PH" "SMEST000507002.1" 3
"41" "PH" "SMEST003729001.1" 3
"42" "PH" "SMEST014298001.1" 3
"43" "PH" "SMEST022985001.1" 3
"44" "PH" "MSTRG.7282.2" 3
"45" "PH" "SMEST024557006.1" 3
"46" "PH" "SMEST029653001.1" 3
"47" "PH" "SMEST029667004.1" 3
"48" "PH" "MSTRG.9940.1" 3
"49" "PH" "MSTRG.10658.3" 3
"50" "PH" "SMEST032664003.1" 3
"51" "PH" "MSTRG.11064.1" 3
"52" "PH" "SMEST034034002.1" 3
"53" "PH" "MSTRG.13567.2" 3
"54" "PH" "SMEST054982001.1" 3
"55" "PH" "SMEST062722001.1" 3
"56" "PH" "MSTRG.18719.4" 3
"57" "PH" "MSTRG.18724.2" 3
"58" "PH" "SMEST062791001.1" 3
"59" "PH" "SMEST062801001.1" 3
"60" "PH" "SMEST072345002.1" 3
"61" "PH" "SMEST072467001.1" 3
"62" "PH" "SMEST072478001.1" 3
"63" "PH" "SMEST075344001.1" 3
"64" "PH" "MSTRG.8835.2" 3
"65" "PH" "SMEST001510002.1" 3
"66" "PH" "SMEST019985001.1" 3
"67" "PH" "MSTRG.12402.12" 3
"68" "PH" "SMEST026850001.1" 2
"69" "PH" "SMEST027017001.1" 2
"70" "PH" "SMEST027094002.1" 2
"71" "PH" "MSTRG.39.2" 2
"72" "PH" "MSTRG.46.1" 2
"73" "PH" "SMEST025543001.1" 2
"74" "PH" "SMEST000386001.1" 2
"75" "PH" "SMEST005237028.1" 2
"76" "PH" "SMEST020466003.1" 2
"77" "PH" "SMEST029651001.1" 2
"78" "PH" "SMEST029735001.1" 2
"79" "PH" "SMEST032629001.1" 2
